Site,Community,County,Statute Mile,Riverbank,Latitude,Longitude,Cartop Launch,Trailered Launch,Campsite,Day Use Site,Kayak Storage Racks,Restroom/Privy,Picnicking/Grills,Dining/Restaurant,Retail/Supplies,Lodging,Bus Service,Train Service,Trail,Swimming,Fishing,Hunting,Trapping,Bird Watching,Golf,Concerts/events,Playground,Tour Boat Service,Natural & Cultural Resources,Historic Resources,Visitor-Nature Center/Museum,Location
Hudson River Park,Pier 84 Borough of Manhattan,New York,3.8,E,40.764167,-74.001944,HL,,,DU,,Y,Y,Y,Y,Y,Y,Y,Y,,Y,,,,,Y,,,Y,Y,,"(40.764167, -74.001944)"
Fourth Street Slip,Village of Athens,Greene ,117.3,W,42.258056,-73.809444,HL,,,DU,2,Y,Y,Y,Y,Y,,,,,Y,,,,,,,,Y,Y,,"(42.258056, -73.809444)"
Croton Point Park,Village of Croton-on-Hudson,Westchester,37.3,E,41.186944,-73.893611,HL,,,DU,,Y,Y,Y,,,,Y,Y,Y,Y,,,Y,,,,,Y,Y,Y,"(41.186944, -73.893611)"
Kingston Point Beach,City of Kingston,Ulster,92.6,W,41.930556,-73.965278,HL,TL,,DU,1,Y,Y,,,,,,,Y,,,,,,,Y,,,,,"(41.930556, -73.965278)"
Cornwall-on-Hudson,Town of Cornwall,Orange ,57.5,W,41.444444,-74,HL,,,DU,,,Y,,,,Y,,Y,,Y,,,Y,,,,,Y,,,"(41.444444, -74.0)"
Henry Hudson Park,Town of Bethlehem,Albany ,138.2,W,42.547778,-73.759167,HL,TL,,DU,,Y,,,,,,,,,Y,,,,,,,,Y,,,"(42.547778, -73.759167)"
West Harlem Piers Park,Borough of Manhattan,New York,9.8,E,40.820556,-73.959722,HL,,,DU,,,,,,,Y,Y,Y,,Y,,,,,,,,Y,Y,,"(40.820556, -73.959722)"
Annsville Creek Paddlesport Center in Hudson Highlands SP,Town of Cortlandt,Westchester,44,E,41.297222,-73.937222,HL,,,DU,,Y,Y,,Y,,,,Y,,Y,,,,,,,,Y,,,"(41.297222, -73.937222)"
Hudson River Maritime Museum,City of Kingston,Ulster,92,W,41.918611,-73.981111,HL,,,DU,,Y,,,,,Y,,Y,,,,,,,Y,,Y,Y,Y,Y,"(41.918611, -73.981111)"
George’s Island Park,Town of Cortlandt,Westchester,39.8,E,41.235278,-73.942222,HL,TL,,DU,,,Y,,,,,,Y,,Y,,,,,,,,Y,,,"(41.235278, -73.942222)"
Fort Ann South of Lock C-11,Town of Fort Ann,Washington,211.3,W,43.459444,-73.441111,HL,TL,,DU,,,,,,,,,,,Y,,,,,,,,,,,"(43.459444, -73.441111)"
NYS Boat Launch,City of Beacon,Dutchess,61.5,E,41.506111,-73.985278,HL,TL,,DU,,,Y,,,,,Y,,,Y,,,,,,,,Y,,,"(41.506111, -73.985278)"
"Fort Miller, North of Lock C-6",Town of Fort Edward,Washington,188.3,E,43.17,-73.579444,HL,,,DU,,,Y,,,,,,,,,,,,,,,,,,,"(43.17, -73.579444)"
Sleightsburg Park Rondout Creek,Town of Esopus,Ulster,92,W,41.92,-73.974444,HL,TL,,DU,,,Y,,,,,,,,Y,,,,,,,,Y,Y,,"(41.92, -73.974444)"
Annsville Preserve,City of Peekskill,Westchester,44,E,41.294167,-73.935833,HL,,,DU,2,,Y,,,,,,Y,,Y,,,,,,,,Y,,,"(41.294167, -73.935833)"
Scenic Hudson Park,Village of Irvington,Westchester,25.3,E,41.041667,-73.873889,HL,,,DU,2,Y,,Y,Y,,,Y,Y,,Y,,,,,,Y,,Y,Y,,"(41.041667, -73.873889)"
Papscanee Island Nature Preserve South Site,Town of Schodack,Rensselaer ,139.97,E,42.573889,-73.75,HL,,,DU,,,Y,,,,,,Y,Y,Y,,,,,,,,Y,Y,,"(42.573889, -73.75)"
NYS Boat Launch,Village of Coxsackie,Greene ,124,W,42.353056,-73.795833,HL,TL,,DU,2,Y,Y,Y,Y,,,,,,,,,,,,,,Y,Y,,"(42.353056, -73.795833)"
